anio,dependencia,establecimiento_id,region_sanitaria,municipio_id,municipio_nombre,establecimiento_nombre,consultas_odontologicas,consultas_medicas,consultas_paramedicas,interconsultas,egresos,dias_camas_disponible,promedio_camas_disponibles,pacientes_dias,porcentaje_ocupacion,dias_estadia,promedio_dias_estadia,defunciones,giro_de_camas,tasa_mortalidad_hospitalaria
2024,Municipal,700014,I,6007,Adolfo Alsina,Hosp. Local Gral. San Martín  ,26.624,120.813,15.812,,3.918,10.98,30,9.663,"86,6","130,2",9.85,"2,5",88,"2,2"
2024,Municipal,700022,I,6007,Adolfo Alsina,Unid. Sanit. San Miguel Arcangel,3.53,7.339,794,,,,,,,,,,,
2024,Municipal,700057,I,6007,Adolfo Alsina,Unid. Sanit. Colonia Lapin,,411,,,,,,,,,,,,
2024,Municipal,700065,I,6007,Adolfo Alsina,Unid. Sanit. Dr. J.C. Senepart,,1.349,,,,,,,,,,,,
2024,Municipal,700073,I,6007,Adolfo Alsina,Unid. Sanit. Murature,,119,,,,,,,,,,,,
2024,Municipal,700090,I,6007,Adolfo Alsina,Hogar de Ancianos Gral. N. Levalle,434,38.128,,,36,12.81,35,12.692,"99,1","1,0",10.053,"279,3",2,"5,6"
2024,Municipal,700111,I,6007,Adolfo Alsina,Unid. Sanit. Bo. Arturo Illia,6.408,7.156,1.57,,,,,,,,,,,
2024,Municipal,700120,I,6007,Adolfo Alsina,Unid. Sanit. Villa Goldberg,,5.202,1.223,,,,,,,,,,,
2024,Municipal,700135,I,6007,Adolfo Alsina,Hosp. Munic. Dr. Demetrio Carmelo Loyarte,5.537,19.536,4.532,,793,3.66,10,2.031,"55,5","79,1",2.036,"2,6",4,"0,5"
2024,Municipal,700146,I,6007,Adolfo Alsina,Hosp. Munic. Dr. Noe Yarcho,13.101,39.891,7.781,,1.007,10.98,30,8.39,"76,4","33,5",8.765,"8,7",22,"2,2"
2024,Municipal,700155,I,6007,Adolfo Alsina,Hogar Geriatrico Casa de Abuelos,103,8.673,,,5,2.928,8,2.902,"99,1","0,6",2.703,"540,6",1,"20,0"
2024,Municipal,1400022,I,6014,Adolfo Gonzales Chaves,Hosp. Local Gral. A. Elicagaray,3.295,38.572,8.752,,1.76,35.136,96,13.348,"37,6","18,3",12.425,"7,1",73,"4,1"
2024,Municipal,1400031,I,6014,Adolfo Gonzales Chaves,Clinica y maternidad Municipal Adolfo Gonzales Chaves,,3.396,,,165,7.686,21,445,"5,8","7,8",261,"1,6",1,"0,6"
2024,Municipal,1400049,I,6014,Adolfo Gonzales Chaves,Unid. Sanit. Dr. F. Madueño,307,7.583,3.256,,154,10.614,29,4.295,"40,5","5,3",5.999,"39,0",10,"6,5"
2024,Municipal,1400057,I,6014,Adolfo Gonzales Chaves,Sala de Pros. Aux. Estación Vásquez,,238,,,,,,,,,,,,
2024,Municipal,1400065,I,6014,Adolfo Gonzales Chaves,Sala de Pros. Aux. de J. E. Barra,,1.993,,,,,,,,,,,,
2024,Municipal,1400081,I,6014,Adolfo Gonzales Chaves,Ctro. de Salud Munic. N° 1,,3.811,825,,,,,,,,,,,
2024,Municipal,1400103,I,6014,Adolfo Gonzales Chaves,Centro Municipal de Salud Nº 2  Carlos A. Gonzalez,,3.528,451,,,,,,,,,,,
2024,Municipal,1400104,I,6014,Adolfo Gonzales Chaves,Centro de Salud Nº 3 Dr. Ramón Carrillo,,2.83,284,,,,,,,,,,,
2024,Municipal,5600034,I,6056,Bahía Blanca,Hosp. Munic. de Agudos Dr. Leónidas Lucero,3.261,165.452,5.938,12.515,9.371,51.159,140,44.247,"86,5","66,9",41.199,"4,4",582,"6,2"
2024,Municipal,5600115,I,6056,Bahía Blanca,Unid. Sanit. Tiro Federal,0,4.441,1.163,,,,,,,,,,,
2024,Municipal,5600123,I,6056,Bahía Blanca,Unid. Sanit. Villa Ressia,2.632,8.266,3.198,,,,,,,,,,,
2024,Municipal,5600131,I,6056,Bahía Blanca,Unid. Sanit. Napostá,,0,0,,,,,,,,,,,
2024,Municipal,5600166,I,6056,Bahía Blanca,Unid. Sanit. La Falda,,0,9,,,,,,,,,,,
2024,Municipal,5600174,I,6056,Bahía Blanca,Unid. Sanit. Noroeste,1.337,5.682,1.707,,,,,,,,,,,
2024,Municipal,5600182,I,6056,Bahía Blanca,Unid. Sanit. San Martín,0,0,0,,,,,,,,,,,
2024,Municipal,5600191,I,6056,Bahía Blanca,Unid. Sanit. Pedro Pico,37,7.7,1.402,,,,,,,,,,,
2024,Municipal,5600204,I,6056,Bahía Blanca,Unid. Sanit. Bella Vista,0,8.045,1.507,,,,,,,,,,,
2024,Municipal,5600212,I,6056,Bahía Blanca,Unid. Sanit. Cabildo,0,16.018,1.576,,,,,,,,,,,
2024,Municipal,5600247,I,6056,Bahía Blanca,Unid. Sanit. Villa Harding Green,1.82,8.168,2.12,,,,,,,,,,,
2024,Municipal,5600263,I,6056,Bahía Blanca,Unid. Sanit. San José Obrero,886,7.567,1.552,,,,,,,,,,,
2024,Municipal,5600271,I,6056,Bahía Blanca,Hosp. Menor Leonor de Cerelli,2.114,30.565,8.883,,,,,,,,,,,
2024,Municipal,5600280,I,6056,Bahía Blanca,Unid. Sanit. Villa Mitre,,0,0,,,,,,,,,,,
2024,Municipal,5600298,I,6056,Bahía Blanca,Unid. Sanit. Villa Rosas,19,5.719,233,,,,,,,,,,,
2024,Municipal,5600301,I,6056,Bahía Blanca,Unid. Sanit. Villa Delfina,,7.589,1.735,,,,,,,,,,,
2024,Municipal,5600310,I,6056,Bahía Blanca,Unid. Sanit. Villa Rosario Sur,620,7.765,1.347,,,,,,,,,,,
2024,Municipal,5600336,I,6056,Bahía Blanca,Unid. Sanit. San Cayetano,0,0,0,,,,,,,,,,,
2024,Municipal,5600361,I,6056,Bahía Blanca,Unid. Sanit. Universitario,0,2.178,2.149,,,,,,,,,,,
2024,Municipal,5600379,I,6056,Bahía Blanca,Unid. Sanit. M. Moreno,3.072,11.133,3.063,,,,,,,,,,,
2024,Municipal,5600409,I,6056,Bahía Blanca,Unid. Sanit. Rivadavia,,4.217,1.107,,,,,,,,,,,
2024,Municipal,5600425,I,6056,Bahía Blanca,Unid. Sanit. Anchorena,5.853,16.192,3.726,,,,,,,,,,,
2024,Municipal,5600531,I,6056,Bahía Blanca,Unid. Sanit. Pampa Central,,7.596,1.733,,,,,,,,,,,
2024,Municipal,5600778,I,6056,Bahía Blanca,Unid. Sanit. Patagonia,,1.789,527,,,,,,,,,,,
2024,Municipal,5600786,I,6056,Bahía Blanca,Ctro. de Atenc. Prim. Gral. D. Cerri,1.451,33.76,9.901,,,,,,,,,,,
2024,Municipal,5600794,I,6056,Bahía Blanca,Unid. Sanit. Sanchez Elías,,7.692,1.49,,,,,,,,,,,
2024,Municipal,5600808,I,6056,Bahía Blanca,Unid. Sanit. Floresta,,6.779,1.204,,,,,,,,,,,
2024,Municipal,5600816,I,6056,Bahía Blanca,Unid. Sanit. Aldea Romana,0,5.405,1.466,,,,,,,,,,,
2024,Municipal,5600841,I,6056,Bahía Blanca,Unid. Sanit. Villa Bordeau,,7.029,1.992,,,,,,,,,,,
2024,Municipal,5600859,I,6056,Bahía Blanca,Unid. Sanit. Centenario,,0,,,,,,,,,,,,
2024,Municipal,5600867,I,6056,Bahía Blanca,Unid. Sanit. Cnel. R. Estomba,2.07,13.572,2.223,,,,,,,,,,,
2024,Municipal,5600891,I,6056,Bahía Blanca,Unid. Sanit. Km.5,271,13,20,,,,,,,,,,,
2024,Municipal,5600905,I,6056,Bahía Blanca,Unid. Sanit. Avellaneda,1.523,7.676,2.141,,,,,,,,,,,
2024,Municipal,5601022,I,6056,Bahía Blanca,Unid. Sanit. Luján,,6.561,264,,,,,,,,,,,
2024,Municipal,5601031,I,6056,Bahía Blanca,Unid. Sanit. E. Julio ,1.889,6.015,1.493,,,,,,,,,,,
2024,Municipal,5601065,I,6056,Bahía Blanca,Unid. Sanit. Miramar,4.735,8.261,2.128,,,,,,,,,,,
2024,Municipal,5601073,I,6056,Bahía Blanca,Unid. Sanit. Colón,0,0,52,,,,,,,,,,,
2024,Municipal,5601081,I,6056,Bahía Blanca,Unid. Sanit. Obrero Villa Mitre,0,0,0,,,,,,,,,,,
2024,Municipal,5601090,I,6056,Bahía Blanca,Unid. Sanit. Loma Paraguaya,,7.566,1.482,,,,,,,,,,,
2024,Municipal,5601103,I,6056,Bahía Blanca,Unid. Sanit. Nueva Belgrano,,5.235,2.151,,,,,,,,,,,
2024,Municipal,5601146,I,6056,Bahía Blanca,Unid. Sanit. Saladero,0,6.517,1.602,,,,,,,,,,,
2024,Municipal,5601154,I,6056,Bahía Blanca,Unid. Sanit. Villa Serra,2.27,10.399,4.021,,,,,,,,,,,
2024,Municipal,5601197,I,6056,Bahía Blanca,Unid. Sanit. Villa Esperanza,,9.718,3.098,,,,,,,,,,,
2024,Municipal,5601201,I,6056,Bahía Blanca,Unid. Sanit. Grumbein,2.13,6.2,1.819,,,,,,,,,,,
2024,Municipal,5601219,I,6056,Bahía Blanca,Unid. Sanit. 12 de Octubre,113,9.998,2.195,,,,,,,,,,,
2024,Municipal,5601235,I,6056,Bahía Blanca,Unid. Sanit. Villa Gloria,,9.367,2.27,,,,,,,,,,,
2024,Municipal,5601324,I,6056,Bahía Blanca,Ctro. de Salud Dr. Leandro Piñeiro,3.257,22.798,5.301,,,,,,,,,,,
2024,Municipal,5601413,I,6056,Bahía Blanca,Unid. Sanit. Villa Muñiz,,6.224,887,,,,,,,,,,,
2024,Municipal,5601448,I,6056,Bahía Blanca,Unid. Sanit. Latino,,1.31,695,,,,,,,,,,,
2024,Municipal,5601561,I,6056,Bahía Blanca,“Centro de Salud San Dionisio”,2.947,6.034,916,,,,,,,,,,,
2024,Municipal,5601821,I,6056,Bahía Blanca,Centro de Salud “9 de Noviembre,4.932,11.084,893,,,,,,,,,,,
2024,Municipal,5601831,I,6056,Bahía Blanca,“Centro de Salud Norte” ,2.636,13.577,1.547,,,,,,,,,,,
2024,Municipal,5601948,I,6056,Bahía Blanca,“Centro de Salud Dharma” ,18,7.097,947,,,,,,,,,,,
2024,Municipal,5601957,I,6056,Bahía Blanca,Centro de Salud Milstein,19,7.997,1.488,,,,,,,,,,,
2024,Municipal,60200011,I,6602,Patagones,Hosp. Munic. de Agudos Dr. Pedro Ecay,1.97,90.116,22.445,,3.63,35.504,97,19.436,"54,7","37,3",10.336,"2,8",143,"3,9"
